User.ID,BookId,Book.Rating
262151,12,5
262151,31,0
262151,52,8
262151,9,0
262151,192,9
262151,104,0
276788,174,7
276832,86,0
276847,48,0
276896,128,10
276925,31,0
276925,52,8
276925,9,0
276925,2,0
276939,108,0
276939,2,0
276953,5,10
276954,2,0
276957,136,6
276964,175,9
277042,197,0
277042,183,0
277042,113,0
277042,21,7
277042,127,8
277042,186,9
277042,63,0
277042,150,8
277042,2,2
277096,54,7
277114,185,0
277124,178,9
277143,197,0
277143,109,9
277157,113,0
277157,2,0
277168,112,0
277168,8,0
277170,99,0
277171,182,0
277187,16,0
277187,189,9
277195,142,0
277195,133,0
277195,31,0
277195,95,0
277195,21,0
277195,199,0
277195,151,0
277195,93,0
277195,36,10
277195,59,0
277195,189,0
277195,135,0
277195,139,0
277212,26,8
277229,58,7
277244,61,0
277245,165,0
277246,22,10
277261,178,7
277288,179,0
277315,17,5
277363,42,8
277378,40,7
277378,113,0
277378,177,4
277378,163,0
277378,182,5
277378,2,0
277411,26,0
277413,31,0
277427,74,0
277427,82,0
277427,47,9
277427,28,0
277427,180,0
277427,148,0
277427,155,0
277427,105,0
277427,31,0
277427,55,8
277427,143,0
277427,76,0
277427,110,0
277427,94,9
277427,52,8
277427,91,9
277427,179,0
277427,96,0
277427,112,0
277427,144,0
277427,184,0
277427,92,7
277427,8,0
277427,111,0
277427,178,0
277427,127,0
277427,160,0
277427,151,0
277427,191,0
277427,93,0
277427,153,0
277427,186,0
277427,181,0
277427,163,0
277427,79,0
277427,2,0
277427,176,0
277427,77,0
277439,31,7
277439,52,0
277439,15,7
277453,169,0
277462,40,10
277466,129,7
277466,112,0
277466,57,0
277466,145,0
277466,63,0
277469,93,9
277478,119,0
277478,61,0
277478,8,0
277478,1,0
277478,192,0
277478,43,0
277478,63,0
277478,13,0
277478,170,0
277478,2,0
277513,85,0
277517,22,8
277523,20,10
277523,128,10
277525,178,0
277530,2,0
277535,165,9
277554,43,0
277563,83,0
277589,52,0
277595,182,0
277598,90,8
277623,176,8
277629,164,0
277629,70,8
277629,178,8
277639,164,0
277639,113,6
277639,56,8
277639,147,0
277639,116,9
277639,190,0
277639,127,0
277639,145,0
277639,153,0
277689,9,0
277691,192,9
277698,10,6
277705,116,0
277711,104,0
277722,6,10
277722,182,8
277743,5,9
277744,143,3
277744,6,0
277752,31,7
277756,110,7
277764,91,9
277776,143,7
277798,110,8
277803,28,8
277807,61,5
277812,143,0
277816,39,0
277884,69,7
277888,101,0
277895,62,0
277901,49,7
277901,22,8
277903,89,8
277915,59,7
277922,8,6
277923,87,0
277923,100,9
277928,11,0
277932,2,0
277937,82,9
277937,40,0
277937,60,7
277938,49,9
277958,28,9
277959,42,8
277965,31,0
277965,115,0
277965,19,0
277965,98,0
277965,164,0
277965,3,0
277965,103,0
277965,4,0
277965,110,10
277965,126,10
277965,134,7
277984,67,0
277997,101,8
278002,154,0
278007,62,0
278007,165,6
278014,57,0
278019,99,0
278023,173,0
278026,47,8
278026,113,5
278026,181,8
278048,105,7
278075,22,8
278079,94,8
278106,80,9
278107,122,8
278122,157,10
278137,40,0
278137,118,7
278137,57,0
278137,171,0
278137,73,7
278137,63,0
278137,9,8
278137,2,0
278144,62,0
278144,74,0
278144,4,0
278144,1,0
278144,122,0
278144,49,0
278144,146,0
278153,14,0
278162,108,10
278176,2,9
278185,51,4
278188,165,0
278188,8,9
278188,177,0
278188,152,0
278194,87,0
278194,158,0
278194,128,7
278202,81,2
278202,105,0
278218,18,7
278220,63,8
278221,74,0
278221,145,0
278221,160,0
278221,153,9
278221,9,9
278243,42,8
278243,87,7
278243,59,8
278254,15,8
278325,116,7
278333,8,10
278342,59,8
278346,123,6
278350,40,9
278356,144,8
278356,184,10
278356,174,10
278356,108,0
278373,2,0
278390,7,4
278390,15,7
278390,9,0
278390,79,9
278418,80,0
278418,81,0
278418,44,0
278418,76,0
278418,98,0
278418,65,0
278418,164,0
278418,87,0
278418,137,0
278418,70,0
278418,66,0
278418,120,0
278418,100,0
278418,169,0
278418,130,0
278418,67,0
278418,33,0
278418,56,0
278418,116,0
278418,175,0
278418,190,0
278418,8,0
278418,89,0
278418,171,0
278418,95,0
278418,26,0
278418,5,0
278418,48,0
278418,154,0
278418,122,0
278418,177,0
278418,49,0
278418,161,8
278418,151,0
278418,150,0
278418,170,0
278422,15,6
278469,105,7
278469,60,7
278483,113,8
278503,77,0
278514,2,0
278535,34,0
278535,112,0
278535,21,10
278535,99,10
278535,127,9
278541,28,9
278543,122,5
278550,88,10
278552,36,7
278552,59,8
278554,152,0
278561,14,7
278582,180,0
278582,136,0
278582,138,0
278582,106,0
278582,193,7
278582,112,0
278582,181,8
278582,77,10
278586,73,5
278633,133,10
278633,80,7
278633,167,2
278633,51,7
278633,148,8
278633,31,9
278633,27,0
278633,89,9
278633,49,0
278633,43,6
278633,168,0
278633,198,0
278633,75,8
278633,135,0
278645,166,8
278653,73,6
278692,17,0
278698,178,10
278723,192,4
278755,100,1
278769,182,0
