User.ID,BookId,Book.Rating,ISBN,User.ID(Orig)
1,12,5,0451166892,276755
2,174,7,043935806X,276788
3,86,5,0316781266,276832
4,48,0,0446364193,276847
5,128,10,0440241537,276896
6,31,6,0316666343,276925
6,52,8,0385504209,276925
6,9,1,0804106304,276925
6,2,3,0971880107,276925
7,108,2,059035342X,276939
7,2,4,0971880107,276939
8,5,10,0446310786,276953
9,2,4,0971880107,276954
10,136,6,0312966970,276957
11,175,9,0440220602,276964
12,197,0,0061097101,277042
12,183,0,0312983271,277042
12,113,0,0380731851,277042
12,21,7,0446605484,277042
12,127,8,0446611212,277042
12,186,9,0609804138,277042
12,63,0,0671003755,277042
12,150,8,074343627X,277042
12,2,2,0971880107,277042
13,54,7,0064407667,277096
14,185,7,0385503822,277114
15,178,9,0440241073,277124
16,197,8,0061097101,277143
16,109,9,0345342968,277143
17,113,9,0380731851,277157
17,2,4,0971880107,277157
18,112,3,0425175405,277168
18,8,0,0440225701,277168
19,99,4,0446610038,277170
20,182,3,0804114986,277171
21,16,0,0671042858,277187
21,189,9,0679745203,277187
22,142,1,0060502258,277195
22,133,3,0060987561,277195
22,31,2,0316666343,277195
22,95,0,0440236673,277195
22,21,0,0446605484,277195
22,199,1,0446606189,277195
22,151,1,0553268880,277195
22,93,0,0553572997,277195
22,36,10,0671021001,277195
22,59,0,0671510053,277195
22,189,2,0679745203,277195
22,135,0,0679746048,277195
22,139,0,1558743669,277195
23,26,8,044023722X,277212
24,58,7,0312282990,277229
25,61,0,0345443284,277244
26,165,0,0316601950,277245
27,22,10,0452282152,277246
28,178,7,0440241073,277261
29,179,0,0425154092,277288
30,17,5,0060976845,277315
31,42,8,0156027321,277363
32,40,7,0312195516,277378
32,113,0,0380731851,277378
32,177,4,0446608955,277378
32,163,2,0684872153,277378
32,182,5,0804114986,277378
32,2,0,0971880107,277378
33,26,0,044023722X,277411
34,31,0,0316666343,277413
35,74,0,0060930535,277427
35,82,0,0060934417,277427
35,47,9,0061009059,277427
35,28,1,0142001740,277427
35,180,1,0312966091,277427
35,148,3,0316096199,277427
35,155,0,0316284955,277427
35,105,1,0316569321,277427
35,31,3,0316666343,277427
35,55,8,0316776963,277427
35,143,0,0345339681,277427
35,76,3,0345361792,277427
35,110,1,0385484518,277427
35,94,9,0385486804,277427
35,52,8,0385504209,277427
35,91,9,0399501487,277427
35,179,0,0425154092,277427
35,96,4,0425158616,277427
35,112,1,0425175405,277427
35,144,2,0439064872,277427
35,184,0,0439136369,277427
35,92,7,0440224764,277427
35,8,3,0440225701,277427
35,111,0,0440236703,277427
35,178,4,0440241073,277427
35,127,5,0446611212,277427
35,160,1,0515132020,277427
35,151,0,0553268880,277427
35,191,0,0553280341,277427
35,93,0,0553572997,277427
35,153,0,0553582755,277427
35,186,0,0609804138,277427
35,181,0,0671001795,277427
35,163,0,0684872153,277427
35,79,0,080410753X,277427
35,2,3,0971880107,277427
35,176,0,1400031354,277427
35,77,0,1400034779,277427
36,31,7,0316666343,277439
36,52,0,0385504209,277439
36,15,7,0671027360,277439
37,169,0,0385722206,277453
38,40,10,0312195516,277462
39,129,7,0380718340,277466
39,112,4,0425175405,277466
39,57,4,044022165X,277466
39,145,0,0446612790,277466
39,63,0,0671003755,277466
40,93,9,0553572997,277469
41,119,1,0345351525,277478
41,61,0,0345443284,277478
41,8,2,0440225701,277478
41,1,1,0440234743,277478
41,192,0,0446607657,277478
41,43,2,0449907481,277478
41,63,0,0671003755,277478
41,13,0,0786868716,277478
41,170,0,080410526X,277478
41,2,2,0971880107,277478
42,85,0,0070212570,277513
43,22,8,0452282152,277517
44,20,10,0385508042,277523
44,128,10,0440241537,277523
45,178,0,0440241073,277525
46,2,0,0971880107,277530
47,165,9,0316601950,277535
48,43,0,0449907481,277554
49,83,2,0743418174,277563
50,52,4,0385504209,277589
51,182,3,0804114986,277595
52,90,8,0375707972,277598
53,176,8,1400031354,277623
54,164,0,0345391055,277629
54,70,8,0380018179,277629
54,178,8,0440241073,277629
55,164,4,0345391055,277639
55,113,6,0380731851,277639
55,56,8,0440211727,277639
55,147,0,0440213525,277639
55,116,9,0440214041,277639
55,190,4,0440222656,277639
55,127,4,0446611212,277639
55,145,0,0446612790,277639
55,153,0,0553582755,277639
56,9,4,0804106304,277689
57,192,9,0446607657,277691
58,10,6,0316769487,277698
59,116,0,0440214041,277705
60,104,0,0449212602,277711
61,6,10,0449005615,277722
61,182,8,0804114986,277722
62,5,9,0446310786,277743
63,143,3,0345339681,277744
63,6,1,0449005615,277744
64,31,7,0316666343,277752
65,110,7,0385484518,277756
66,91,9,0399501487,277764
67,143,7,0345339681,277776
68,110,8,0385484518,277798
69,28,8,0142001740,277803
70,61,5,0345443284,277807
71,143,2,0345339681,277812
72,39,0,0060915544,277816
73,69,7,0380789019,277884
74,101,0,067976402X,277888
75,62,0,0060928336,277895
76,49,7,0446672211,277901
76,22,8,0452282152,277901
77,89,8,0440226430,277903
78,59,7,0671510053,277915
79,8,6,0440225701,277922
80,87,2,0375725784,277923
80,100,9,0385492081,277923
81,11,0,0679429220,277928
82,2,0,0971880107,277932
83,82,9,0060934417,277937
83,40,0,0312195516,277937
83,60,7,0743237188,277937
84,49,9,0446672211,277938
85,28,9,0142001740,277958
86,42,8,0156027321,277959
87,31,0,0316666343,277965
87,115,0,0345353145,277965
87,19,0,0345378490,277965
87,98,0,0345380371,277965
87,164,4,0345391055,277965
87,3,3,0345402871,277965
87,103,0,034540288X,277965
87,4,0,0345417623,277965
87,110,10,0385484518,277965
87,126,10,0684874350,277965
87,134,7,0786881852,277965
88,67,3,0440206154,277984
89,101,8,067976402X,277997
90,154,0,044651652X,278002
91,62,3,0060928336,278007
91,165,6,0316601950,278007
92,57,1,044022165X,278014
93,99,0,0446610038,278019
94,173,0,0449003795,278023
95,47,8,0061009059,278026
95,113,5,0380731851,278026
95,181,8,0671001795,278026
96,105,7,0316569321,278048
97,22,8,0452282152,278075
98,94,8,0385486804,278079
99,80,9,0140244824,278106
100,122,8,0446605239,278107
101,157,10,0375727345,278122
102,40,0,0312195516,278137
102,118,7,0345337662,278137
102,57,0,044022165X,278137
102,171,0,0440235596,278137
102,73,7,0446606812,278137
102,63,0,0671003755,278137
102,9,8,0804106304,278137
102,2,0,0971880107,278137
103,62,0,0060928336,278144
103,74,0,0060930535,278144
103,4,0,0345417623,278144
103,1,3,0440234743,278144
103,122,0,0446605239,278144
103,49,0,0446672211,278144
103,146,0,068484477X,278144
104,14,1,0446612545,278153
105,108,10,059035342X,278162
106,2,9,0971880107,278176
107,51,4,0142000205,278185
108,165,2,0316601950,278188
108,8,9,0440225701,278188
108,177,0,0446608955,278188
108,152,1,0446611867,278188
109,87,0,0375725784,278194
109,158,1,0425152251,278194
109,128,7,0440241537,278194
110,81,2,014025448X,278202
110,105,0,0316569321,278202
111,18,7,0060977493,278218
112,63,8,0671003755,278220
113,74,2,0060930535,278221
113,145,1,0446612790,278221
113,160,1,0515132020,278221
113,153,9,0553582755,278221
113,9,9,0804106304,278221
114,42,8,0156027321,278243
114,87,7,0375725784,278243
114,59,8,0671510053,278243
115,15,8,0671027360,278254
116,116,7,0440214041,278325
117,8,10,0440225701,278333
118,59,8,0671510053,278342
119,123,6,051513287X,278346
120,40,9,0312195516,278350
121,144,8,0439064872,278356
121,184,10,0439136369,278356
121,174,10,043935806X,278356
121,108,3,059035342X,278356
122,2,0,0971880107,278373
123,7,4,0425182908,278390
123,15,7,0671027360,278390
123,9,1,0804106304,278390
123,79,9,080410753X,278390
124,80,0,0140244824,278418
124,81,2,014025448X,278418
124,44,0,0345313860,278418
124,76,2,0345361792,278418
124,98,0,0345380371,278418
124,65,0,0345384466,278418
124,164,3,0345391055,278418
124,87,2,0375725784,278418
124,137,3,0380002930,278418
124,70,3,0380018179,278418
124,66,3,0380789035,278418
124,120,3,0385265700,278418
124,100,0,0385492081,278418
124,169,2,0385722206,278418
124,130,0,0425147622,278418
124,67,1,0440206154,278418
124,33,0,044021145X,278418
124,56,1,0440211727,278418
124,116,0,0440214041,278418
124,175,0,0440220602,278418
124,190,0,0440222656,278418
124,8,0,0440225701,278418
124,89,1,0440226430,278418
124,171,1,0440235596,278418
124,95,0,0440236673,278418
124,26,0,044023722X,278418
124,5,2,0446310786,278418
124,48,3,0446364193,278418
124,154,0,044651652X,278418
124,122,0,0446605239,278418
124,177,0,0446608955,278418
124,49,1,0446672211,278418
124,161,8,0515131229,278418
124,151,0,0553268880,278418
124,150,3,074343627X,278418
124,170,0,080410526X,278418
125,15,6,0671027360,278422
126,105,7,0316569321,278469
126,60,7,0743237188,278469
127,113,8,0380731851,278483
128,77,0,1400034779,278503
129,2,0,0971880107,278514
130,34,2,0375726403,278535
130,112,0,0425175405,278535
130,21,10,0446605484,278535
130,99,10,0446610038,278535
130,127,9,0446611212,278535
131,28,9,0142001740,278541
132,122,5,0446605239,278543
133,88,10,0345339703,278550
134,36,7,0671021001,278552
134,59,8,0671510053,278552
135,152,4,0446611867,278554
136,14,7,0446612545,278561
137,180,2,0312966091,278582
137,136,0,0312966970,278582
137,138,2,0312971346,278582
137,106,0,0312976275,278582
137,193,7,0312980140,278582
137,112,2,0425175405,278582
137,181,8,0671001795,278582
137,77,10,1400034779,278582
138,73,5,0446606812,278586
139,133,10,0060987561,278633
139,80,7,0140244824,278633
139,167,2,014028009X,278633
139,51,7,0142000205,278633
139,148,8,0316096199,278633
