UserId,BookId,Rating,RatingDate
0,12,5,2024-02-29
0,31,1,2024-02-07
0,52,8,2024-01-09
0,9,0,2023-09-16
0,192,9,2023-12-23
0,104,0,2023-09-02
0,31,8,2023-12-28
0,110,0,2024-02-02
0,92,8,2024-04-08
0,108,1,2023-12-24
0,83,8,2024-04-16
1,174,7,2023-12-31
2,86,0,2023-09-20
3,48,0,2023-12-17
4,128,10,2024-03-17
5,31,0,2024-05-11
5,52,8,2024-01-08
5,9,0,2024-03-17
5,2,0,2024-04-27
6,108,0,2023-12-25
6,2,0,2023-11-21
7,5,10,2023-11-11
8,2,0,2024-03-09
9,136,6,2024-04-26
10,175,9,2023-10-27
11,197,0,2023-09-20
11,183,0,2024-04-15
11,113,0,2024-02-02
11,21,7,2024-04-01
11,127,8,2023-11-09
11,186,9,2023-12-26
11,63,0,2024-04-08
11,150,8,2024-02-16
11,2,2,2023-10-27
12,54,7,2024-04-14
13,185,0,2023-12-23
14,178,9,2023-11-25
15,197,0,2024-03-07
15,109,9,2024-03-20
16,113,0,2024-04-10
16,2,0,2024-02-05
17,112,0,2023-12-12
17,8,0,2024-02-18
18,99,0,2023-11-22
19,182,0,2024-01-11
20,16,0,2024-04-13
20,189,9,2024-03-02
21,142,0,2023-11-30
21,133,0,2023-09-26
21,31,0,2023-11-24
21,95,0,2024-04-23
21,21,0,2024-03-06
21,199,0,2023-12-10
21,151,0,2024-04-24
21,93,0,2023-09-16
21,36,10,2024-03-09
21,59,0,2024-04-16
21,189,0,2023-09-09
21,135,0,2024-04-12
21,139,0,2023-09-12
22,26,8,2024-01-27
23,58,7,2023-11-09
24,61,0,2024-03-29
25,165,0,2024-05-13
26,22,10,2024-03-27
27,178,7,2024-02-16
28,179,0,2024-04-04
29,17,5,2024-03-20
30,42,8,2024-02-20
31,40,7,2023-09-18
31,113,0,2023-12-15
31,177,4,2023-12-01
31,163,0,2023-12-03
31,182,5,2023-12-01
31,2,0,2023-09-02
32,26,0,2024-02-24
33,31,0,2024-03-09
34,74,0,2024-01-15
34,82,0,2023-11-30
34,47,9,2024-03-31
34,28,0,2023-10-18
34,180,0,2023-12-26
34,148,0,2023-09-30
34,155,0,2023-09-16
34,105,0,2024-02-07
34,31,0,2024-01-22
34,55,8,2024-03-25
34,143,0,2023-10-26
34,76,0,2024-01-31
34,110,0,2024-03-05
34,94,9,2024-04-24
34,52,8,2023-09-07
34,91,9,2024-02-18
34,179,0,2023-09-02
34,96,0,2023-09-04
34,112,0,2024-01-03
34,144,0,2024-01-09
34,184,0,2023-11-26
34,92,7,2024-02-03
34,8,0,2023-10-19
34,111,0,2023-10-18
34,178,0,2024-01-17
34,127,0,2023-12-11
34,160,0,2024-02-19
34,151,0,2024-01-28
34,191,0,2023-10-19
34,93,0,2023-12-16
34,153,0,2024-03-13
34,186,0,2023-12-19
34,181,0,2023-09-21
34,163,0,2024-04-08
34,79,0,2023-11-06
34,2,0,2023-09-24
34,176,0,2024-01-25
34,77,0,2023-11-06
35,31,7,2023-09-22
35,52,0,2023-11-04
35,15,7,2024-01-17
36,169,0,2024-01-21
37,40,10,2024-03-13
38,129,7,2023-09-12
38,112,0,2023-11-27
38,57,0,2024-01-15
38,145,0,2024-01-03
38,63,0,2024-01-01
39,93,9,2024-04-12
40,119,0,2023-12-10
40,61,0,2023-11-15
40,8,0,2024-04-28
40,1,0,2024-05-02
40,192,0,2023-09-20
40,43,0,2024-04-13
40,63,0,2023-11-05
40,13,0,2024-02-17
40,170,0,2023-11-07
40,2,0,2024-02-25
41,85,0,2023-11-09
42,22,8,2023-11-02
43,20,10,2023-09-01
43,128,10,2023-10-28
44,178,0,2023-10-19
45,2,0,2024-03-30
46,165,9,2023-09-30
47,43,0,2024-05-14
48,83,0,2023-12-13
49,52,0,2024-02-19
50,182,0,2024-01-04
51,90,8,2023-10-29
52,176,8,2023-12-27
53,164,0,2023-09-28
53,70,8,2024-02-13
53,178,8,2024-04-15
54,164,0,2024-03-29
54,113,6,2023-11-21
54,56,8,2023-10-09
54,147,0,2024-01-12
54,116,9,2023-11-22
54,190,0,2023-12-02
54,127,0,2024-04-06
54,145,0,2024-02-24
54,153,0,2024-01-14
55,9,0,2023-09-19
56,192,9,2024-04-19
57,10,6,2024-01-09
58,116,0,2024-01-12
59,104,0,2024-01-06
60,6,10,2024-01-05
60,182,8,2023-11-18
61,5,9,2023-09-29
62,143,3,2023-10-21
62,6,0,2024-03-03
63,31,7,2024-03-17
64,110,7,2023-09-11
65,91,9,2023-12-05
66,143,7,2023-11-18
67,110,8,2023-10-19
68,28,8,2023-10-31
69,61,5,2024-02-23
70,143,0,2024-04-08
71,39,0,2023-09-15
72,69,7,2023-11-28
73,101,0,2024-02-26
74,62,0,2024-02-15
75,49,7,2024-02-28
75,22,8,2024-05-15
76,89,8,2024-01-24
77,59,7,2023-11-06
78,8,6,2024-04-01
79,87,0,2023-11-27
79,100,9,2024-02-01
80,11,0,2024-04-30
81,2,0,2024-02-16
82,82,9,2024-02-19
82,40,0,2023-09-19
82,60,7,2024-05-13
83,49,9,2024-03-14
84,28,9,2023-09-12
85,42,8,2023-12-12
86,31,0,2024-01-20
86,115,0,2023-10-14
86,19,0,2024-01-10
86,98,0,2024-03-22
86,164,0,2024-01-18
86,3,0,2024-02-02
86,103,0,2024-04-19
86,4,0,2023-10-19
86,110,10,2024-01-07
86,126,10,2024-03-05
86,134,7,2023-09-27
87,67,0,2024-05-08
88,101,8,2024-03-07
89,154,0,2024-02-26
90,62,0,2023-10-09
90,165,6,2023-11-17
91,57,0,2024-01-26
92,99,0,2023-10-17
93,173,0,2023-11-11
94,47,8,2024-01-17
94,113,5,2024-05-13
94,181,8,2024-02-05
95,105,7,2023-11-05
96,22,8,2023-10-02
97,94,8,2024-01-18
98,80,9,2023-12-19
99,122,8,2024-03-21
100,157,10,2024-03-24
101,40,0,2024-04-20
101,118,7,2024-01-18
101,57,0,2023-12-09
101,171,0,2024-01-05
101,73,7,2024-01-15
101,63,0,2024-01-06
101,9,8,2023-10-25
101,2,0,2024-03-09
102,62,0,2023-10-27
102,74,0,2023-09-09
102,4,0,2024-05-14
102,1,0,2023-10-10
102,122,0,2023-11-17
102,49,0,2024-01-13
102,146,0,2024-04-08
103,14,0,2023-11-25
104,108,10,2023-11-22
105,2,9,2024-04-24
106,51,4,2023-11-06
107,165,0,2023-10-30
107,8,9,2024-05-03
107,177,0,2023-09-10
107,152,0,2023-12-07
108,87,0,2024-04-24
108,158,0,2023-12-07
108,128,7,2024-04-11
109,81,2,2023-12-15
109,105,0,2023-09-19
110,18,7,2024-02-17
111,63,8,2024-02-24
112,74,0,2023-12-04
112,145,0,2023-10-07
112,160,0,2023-11-25
112,153,9,2023-10-15
112,9,9,2024-01-21
113,42,8,2024-03-11
113,87,7,2023-12-12
113,59,8,2023-09-12
114,15,8,2023-09-14
115,116,7,2023-10-06
116,8,10,2024-02-29
117,59,8,2024-01-06
118,123,6,2023-09-20
119,40,9,2023-11-20
120,144,8,2023-10-07
120,184,10,2024-03-19
120,174,10,2024-04-22
120,108,0,2023-09-06
121,2,0,2024-01-17
122,7,4,2024-04-22
122,15,7,2024-02-29
122,9,0,2024-02-13
